"course_id","course_name","currency","best_price_value","min_custom_price","max_custom_price","coupons_remaining", "referral_url"
6199369,"Advaced Practical GenAI","USD",9.99,12.99,19.99,2,"https://www.udemy.com/course/practical-genai-part-3-arabic-advaced-genai/?referralCode=7B98BE65785E74E05B62"
6199297,"Multimodal GenAI RAG Apps","USD",9.99,12.99,19.99,2,"https://www.udemy.com/course/practical-genai-part-2-arabic-rag/?referralCode=C22930F0F33A328FF6ED"
5587658,"Basics of Practical GenAI","USD",9.99,12.99,19.99,2,"https://www.udemy.com/course/practical-genai-part-1-genai-basics/?referralCode=02DCB331E2B73D2940A1"
5312986,"Reinforcement Learning (English): Master the Art of RL","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/reinforcement-learning-english/?referralCode=3400753CB4006317933F"
5273846,"Generative AI (English Version): Unleashing Next-Gen AI","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/generative-ai-english-version-unleashing-next-gen-ai/?referralCode=3DBEBB24A00BE13CF63B"
5256918,"Generative AI: Learn about the next AI frontier","USD",10.99,15.99,29.99,3,"https://www.udemy.com/course/generative-ai-ar/?referralCode=E23B8A9D95BA98BF3A79"
5113844,"Transformers in Computer Vision - English version","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/transformers-in-computer-vision-english-version/?referralCode=093F437E905A0F0EA6DD"
5048136,"Reinforcement Learning","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/reinforcement-learning-coursat/?referralCode=56E3E70A579292427879"
4948464,"Transformers in Computer Vision","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/transformers-in-computer-vision/?referralCode=3B6D7A37B986019EA2B2"
4833004,"Deployment of Machine Learning Models","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/deployment-of-machine-learning-models-l/?referralCode=371058AB5DFFCC629961"
4663084,"Deep Learning for Natural Language Processing","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/deep-learning-for-computer-vision/?referralCode=2B0B1CBC62996305FBEB"
4661416,"Deep Learning for Computer Vision","USD",9.99,12.99,29.99,3,"https://www.udemy.com/course/deep-learning-for-computer-vision/?referralCode=2B0B1CBC62996305FBEB"
4644516,"Practical Machine Learning for Data Scientists","EGP",249.99,299.99,1699.99,3,"https://www.udemy.com/course/practical-machine-learning-for-data-scientists/?referralCode=3822B15171FBE3A6ECE6"
